timestamp_ms,cmd_mm,fb_mm
20,35.00000000000002,40.5
366,35.00000000000002,40.5
688,35.10000000000002,40.5
1004,35.10000000000002,40.5
1326,35.300000000000026,40.5
1645,35.40000000000003,40.5
1983,35.50000000000003,40.5
2299,35.70000000000003,40.5
2626,35.80000000000003,40.5
3018,35.900000000000034,40.5
3334,36.10000000000004,40.5
3656,36.20000000000004,40.5
3972,36.40000000000004,40.5
4293,36.50000000000004,40.5
4612,36.700000000000045,40.5
4933,36.80000000000005,40.5
5260,36.90000000000005,40.5
5578,37.00000000000005,40.5
5905,37.10000000000005,40.5
6289,37.20000000000005,40.5
6607,37.400000000000055,40.6
6927,37.60000000000006,40.800000000000004
7246,37.70000000000006,40.800000000000004
7562,37.90000000000006,40.800000000000004
7879,38.000000000000064,40.800000000000004
8199,38.100000000000065,40.800000000000004
8517,38.20000000000007,40.800000000000004
8834,38.30000000000007,40.800000000000004
9150,38.40000000000007,40.800000000000004
9466,38.60000000000007,40.9
9850,38.800000000000075,41.1
10168,38.90000000000008,41.1
10481,39.00000000000008,41.1
10786,39.10000000000008,41.1
11092,39.20000000000008,41.1
11400,39.30000000000008,41.2
11708,39.500000000000085,41.2
12018,39.70000000000009,41.2
12330,39.90000000000009,41.2
12637,40.00000000000009,41.300000000000004
12946,40.100000000000094,41.300000000000004
13315,40.200000000000095,41.4
13619,40.3000000000001,41.5
13923,40.4000000000001,41.5
14225,40.5000000000001,41.6
14525,40.6000000000001,41.6
14822,40.7000000000001,41.6
15125,40.800000000000104,41.6
15428,40.900000000000105,41.6
15724,41.00000000000011,41.7
16101,41.10000000000011,41.7
16396,41.20000000000011,41.7
16688,41.30000000000011,41.7
16985,41.40000000000011,41.7
17283,41.500000000000114,41.7
17582,41.600000000000115,41.7
17878,41.80000000000012,41.9
18172,41.90000000000012,41.9
18470,42.00000000000012,41.9
18824,42.200000000000124,41.9
19120,42.300000000000125,42.0
19411,42.40000000000013,42.1
19709,42.50000000000013,42.1
20000,42.60000000000013,42.2
20294,42.70000000000013,42.2
20581,42.900000000000134,42.2
20869,43.000000000000135,42.300000000000004
21155,43.100000000000136,42.300000000000004
21444,43.20000000000014,42.300000000000004
21735,43.40000000000014,42.7
22076,43.50000000000014,42.7
22356,43.60000000000014,42.7
22636,43.700000000000145,42.7
22918,43.700000000000145,42.7
23201,43.700000000000145,42.7
23485,43.700000000000145,42.7
23766,43.800000000000146,42.800000000000004
24050,43.800000000000146,42.800000000000004
24330,43.800000000000146,42.800000000000004
24612,43.800000000000146,43.1
24956,43.800000000000146,43.1
25238,43.800000000000146,43.1
25519,43.800000000000146,43.1
25793,43.800000000000146,43.1
26073,43.800000000000146,43.1
26359,43.800000000000146,43.1
26634,43.800000000000146,43.1
26919,43.800000000000146,43.1
