timestamp_ms,cmd_mm,fb_mm
3,35.00000000000003,40.800000000000004
329,35.00000000000003,40.800000000000004
644,35.10000000000003,40.800000000000004
957,35.10000000000003,40.800000000000004
1272,35.20000000000003,40.800000000000004
1582,35.30000000000003,40.800000000000004
1897,35.500000000000036,40.800000000000004
2211,35.60000000000004,40.800000000000004
2527,35.80000000000004,40.800000000000004
2914,36.00000000000004,40.800000000000004
3228,36.100000000000044,40.800000000000004
3544,36.200000000000045,40.800000000000004
3862,36.30000000000005,40.800000000000004
4177,36.40000000000005,40.800000000000004
4493,36.60000000000005,40.800000000000004
4805,36.70000000000005,40.800000000000004
5122,36.900000000000055,40.800000000000004
5437,37.00000000000006,40.800000000000004
5752,37.20000000000006,40.800000000000004
6125,37.30000000000006,40.800000000000004
6437,37.40000000000006,40.800000000000004
6745,37.500000000000064,40.800000000000004
7056,37.600000000000065,40.9
7372,37.80000000000007,40.9
7695,37.90000000000007,40.9
8009,38.10000000000007,41.2
8322,38.200000000000074,41.2
8631,38.300000000000075,41.2
8941,38.50000000000008,41.2
9331,38.70000000000008,41.300000000000004
9637,38.900000000000084,41.300000000000004
9943,39.000000000000085,41.300000000000004
10250,39.10000000000009,41.5
10558,39.20000000000009,41.5
10859,39.30000000000009,41.6
11164,39.40000000000009,41.6
11471,39.50000000000009,41.6
11778,39.600000000000094,41.6
12088,39.8000000000001,41.6
12394,40.0000000000001,41.7
12764,40.1000000000001,41.7
13065,40.2000000000001,41.7
13372,40.300000000000104,41.7
13679,40.50000000000011,41.7
13984,40.60000000000011,41.800000000000004
14284,40.70000000000011,41.800000000000004
14583,40.80000000000011,41.9
14883,40.90000000000011,41.9
15182,41.100000000000115,41.9
15550,41.30000000000012,41.9
15851,41.50000000000012,42.1
16153,41.700000000000124,42.2
16456,41.800000000000125,42.2
16751,41.90000000000013,42.2
17054,42.00000000000013,42.300000000000004
17354,42.10000000000013,42.300000000000004
17657,42.20000000000013,42.300000000000004
17952,42.30000000000013,42.4
18246,42.500000000000135,42.4
18610,42.600000000000136,42.5
18906,42.70000000000014,42.6
19206,42.80000000000014,42.6
19503,42.90000000000014,42.6
19795,43.10000000000014,42.7
20087,43.200000000000145,42.7
20376,43.40000000000015,43.0
20670,43.50000000000015,43.1
20972,43.60000000000015,43.1
21252,43.80000000000015,43.1
21613,43.900000000000155,43.1
21896,44.000000000000156,43.1
22180,44.10000000000016,43.5
22466,44.10000000000016,43.5
22749,44.20000000000016,43.5
23027,44.30000000000016,43.5
23311,44.30000000000016,43.5
23593,44.30000000000016,43.5
23883,44.40000000000016,43.5
24165,44.40000000000016,43.5
24517,44.40000000000016,43.5
24800,44.40000000000016,43.5
25082,44.40000000000016,43.5
25361,44.40000000000016,43.5
25643,44.40000000000016,43.5
25922,44.40000000000016,43.5
